customer_id,probability_score,prediction
100000,0.169370262861158,0
100001,0.1995183002437985,0
100002,0.5392713321412582,1
100003,0.4104066420938181,0
100004,0.6106212146769245,1
100005,0.2210977915928243,0
100006,0.1916549545202199,0
100007,0.3234917759453348,0
100008,0.0723378139337485,0
100009,0.309156392416109,0
100010,0.1973908491041536,0
100011,0.2763820328540892,0
100012,0.3635038113404789,0
100013,0.1604449956557763,0
100014,0.1822656618541028,0
100015,0.3557734571021552,0
100016,0.3024918201664036,0
100017,0.1174851464117158,0
100018,0.7383963433292903,1
100019,0.4538205495059388,0
100020,0.6082047120845337,1
100021,0.8058904185491158,1
100022,0.2632459653960909,0
100023,0.15246046740642,0
100024,0.53054617258216,1
100025,0.1551688110320565,0
100026,0.2063766096875908,0
100027,0.7214723683002708,1
100028,0.1125936890575242,0
100029,0.5957727066925761,1
100030,0.7154429558280986,1
100031,0.5352156922370453,1
100032,0.2643564694704364,0
100033,0.3646294615805721,0
100034,0.1817205160196372,0
100035,0.4571821069292425,0
100036,0.2140502513783647,0
100037,0.2880451180100242,0
100038,0.1523457672516268,0
100039,0.4040542178326715,0
100040,0.3205605070127268,0
100041,0.159281412319933,0
100042,0.842464535744738,1
100043,0.5300663257429927,1
100044,0.1877419463692159,0
100045,0.3281129019168549,0
100046,0.2556037796520705,0
100047,0.7361424874460862,1
100048,0.1403726380081936,0
100049,0.1889043875450767,0
100050,0.4100449761870374,0
100051,0.1515232081132841,0
100052,0.9659088742598172,1
100053,0.6111130405806943,1
100054,0.1832076482001683,0
100055,0.5341011876718179,1
100056,0.1802905253964418,0
100057,0.2278426530454123,0
100058,0.1377136508130604,0
100059,0.2128893864062413,0
100060,0.8145526720162881,1
100061,0.1405621738118241,0
100062,0.0473944933100381,0
100063,0.673205965812559,1
100064,0.2682739440657823,0
100065,0.2518116838555291,0
100066,0.0811604664591967,0
100067,0.1543230769851843,0
100068,0.4339268218215222,0
100069,0.2874690628116544,0
100070,0.1923112978645876,0
100071,0.8691553994650156,1
100072,0.3587371851037889,0
100073,0.1512142033925537,0
100074,0.50446974046875,1
100075,0.2762881083678362,0
100076,0.204445316080982,0
100077,0.3228926325675684,0
100078,0.4223905408152372,0
100079,0.1220021716059079,0
100080,0.7429737224500881,1
100081,0.8312200150479934,1
100082,0.0790901098537333,0
100083,0.7248773830740183,1
100084,0.3141336692348252,0
100085,0.2750516060287867,0
100086,0.6443003740096822,1
100087,0.4980913096628404,1
100088,0.3801778624422002,0
100089,0.258076427865136,0
100090,0.5096243886311372,1
100091,0.1079817308641247,0
100092,0.188089010669628,0
100093,0.282729112903727,0
100094,0.2561994913116637,0
100095,0.2193332678474571,0
100096,0.4770706933209096,0
100097,0.164409937941026,0
100098,0.3055837604941972,0
100099,0.4968432655300718,1
100100,0.791560373916282,1
100101,0.2271944639440468,0
100102,0.3380350254501707,0
100103,0.5262775292446111,1
100104,0.1256082526837668,0
100105,0.1076626765059627,0
100106,0.1330744440228779,0
100107,0.3248596449735074,0
100108,0.1910158876000583,0
100109,0.179913991987728,0
100110,0.4319582555949724,0
100111,0.2624496664539781,0
100112,0.345698957746721,0
100113,0.6666996714737741,1
100114,0.6693960432432047,1
100115,0.2592197499918126,0
100116,0.2538054303089267,0
